user_id,image_id,class
0,010e6b30836abef8,0
1,03470e0195a7e30f,0
2,07a3d65ebbeaec24,0
2,0c5826c301bdbde1,0
3,0f83da25cccff957,0
2,1ad5742e09636083,0
4,23a59acf66da99dc,0
0,25f8fb9c840ec894,0
5,2e2c545c5b7d7d58,0
1,3735b2fa1abffea3,0
6,3767eaf7c8ff5fb6,0
4,44627967ca49e31e,0
7,44e3c963a37f7837,0
8,51c1978b2b6b11ba,0
9,5a6827f63eb1c3c5,0
4,5ccc8222dedc8359,0
10,5e4f2d0abc3ae0d1,0
11,64fea3f423e2a426,0
9,6717da4db8d4f1f5,0
1,723c9f8e6a99ba91,0
12,749f4fb034d79301,0
13,7ae6fba1ae74ca09,0
14,7baa96b21aefc87a,0
5,7f25b77db128034a,0
15,811f0af41ecb79f5,0
0,84257a65c3600e02,0
16,8fde6d104aad60f1,0
1,91aa3c3b81540a7f,0
17,9353a13e5bb8006c,0
18,967862040e24eefc,0
0,96fabb4cc69d96f3,0
19,9906ed7e5fff6d46,0
0,9d890b00d2eb4607,0
6,9daef9ee37895a24,0
0,acee6f9ed7e91e7a,0
9,ae6e58a170d76be4,0
20,aeba322d3042b85c,0
10,b5805874f5255943,0
21,ba06cdd5da47508d,0
22,c45e43877b8dd7e9,0
21,c69a1be4daa222f1,0
2,c6ca6901520aaebe,0
12,c8ddde91c1177419,0
23,d72c330ee3de9224,0
12,e4e49bad3c8d680e,0
24,e84f0d9fe96ed9af,0
0,e8cecf216e684e19,0
4,e94d1c6628e4e841,0
0,e98fd336e47986d1,0
16,eace5e5f0f6d1163,0
0,f21b8373fcb21587,0
21,f64490391b34cdae,0
0,fcfe7eb418994b88,0
25,00d34b700ae61917,1
26,02c617981137ea3f,1
27,0479583dd201f94b,1
28,08b33254b6194b34,1
29,08d45d78f6678288,1
30,118554eaa24300c1,1
31,1367d3f0ae289b16,1
32,140d36934a4cc9aa,1
32,1502cb2a387afbf6,1
33,15aa71afaedae29a,1
34,16e85d7156474d3d,1
35,19ad3f05727e1ffb,1
30,284d7259e1fbf96b,1
36,2bb9d0cf30ea90f5,1
34,2c5acc0b17c71c49,1
37,34608de3c69148b8,1
38,34f3958f855c051d,1
39,3bf9f3c8d6f8d5d8,1
29,40b83abe65748823,1
40,469a53074e65c505,1
41,4885e1b0aa03790a,1
42,4bbb9a898bd91475,1
33,4fe1374268c08b84,1
43,5377162a44ad7473,1
34,574576b0ad1aeb09,1
30,60b489ee895f830b,1
29,6339046bc6751865,1
43,6a13b9a46b2f5b15,1
44,6b04bbdab8c51bd4,1
34,6ca699877a736b64,1
29,6db4c583f69c032c,1
45,752d298f111775c5,1
25,75ff2afcdb10c333,1
41,7907c36aef421519,1
27,7a1b51604aa8e182,1
42,7c0ce28641564dc1,1
44,7d6901e8383e9c8b,1
37,8516fe1fced7b6ac,1
29,86d9316603133cf1,1
26,884a7971b2eb5138,1
46,88f9b910b6c27d01,1
47,8a0544b507f92762,1
45,8a0b6ea19247289b,1
36,8c7d1cc95f8bb7d9,1
48,8f8694c817789153,1
44,8f8d199e894fec7a,1
49,905b8ceaf3b686e5,1
39,9b8c7caf5d4dbebb,1
28,a0520d2c54528488,1
29,a2079b2a6d278eac,1
27,a482a88e87e9ac3b,1
42,ad25de3d79ee808d,1
30,ae0a71a37e99329d,1
25,b08cdddf022a0d49,1
43,b7ea1e7766df2ed8,1
39,b879a12a2c2cc183,1
37,c09f7217eb3f84f7,1
34,c537d6b03b6dedb0,1
41,ca7dbb32a8e5c52a,1
37,d1a2de07a024225d,1
50,d231452ba0f4f84c,1
51,dba63639c5dbe100,1
47,e637bbfbdfb2979e,1
27,e6efd36a2eb7ee12,1
52,ebeb3e2ba56d803b,1
39,f163ab4e6b498e89,1
39,f4889aa2604e8f10,1
36,fbc175fe3362d772,1
44,ff84b0e5ea02f966,1
53,03dab72cbd511c49,2
54,07ec3f84449233fa,2
54,0c669c24349d8dcf,2
55,0d5aacfa4475fd08,2
56,14839694a578794a,2
57,16d86510a934b817,2
56,194ba6ee93f6baf2,2
58,194db0584746bc6f,2
54,1c8a2b21f5b5a512,2
54,1d6e16f6cc1536d4,2
59,1dfae2811acc84ac,2
54,1f67fdf54835483d,2
53,218feec03abe066c,2
60,21f103f2361ca475,2
57,225faa0bd40766fd,2
57,27170980a7abe76c,2
58,2738768d6e0a7c31,2
54,27edff9f08923a76,2
61,286303f372ea1684,2
56,28bbd21dc88f4178,2
58,294c956bf33ed3cd,2
56,2b22b5ae3cfc4256,2
56,2b95fdf241f91a73,2
54,2d5e4d88598b2d39,2
58,306e6b7339611b3f,2
53,32281e2c2ad06cff,2
62,364271c6262dd4f2,2
54,379490c49056d023,2
58,38620c53045dc1c3,2
56,3916f084b937a4be,2
58,39708397c6064b4a,2
58,3a5f5e71ab276414,2
56,3a742382d45936cc,2
60,4191218a6c33c6e5,2
56,41ff57d19a335341,2
54,424df99b2178e2ba,2
58,42f0064a87284249,2
56,45f54d725352a46a,2
